airport,latitude,longitude
OTZ,66.88467694,-162.5985497
PBI,26.68316194,-80.09559417
PDX,45.58872222,-122.5975
PHL,39.87195278,-75.24114083
PHX,33.43416667,-112.0080556
PIA,40.66424333,-89.69330556
PIT,40.49146583,-80.23287083
PNS,30.47330556,-87.18744444
PSC,46.26468028,-119.1190292
PSG,56.80165194,-132.9452781
PSP,33.82921556,-116.5062531
PVD,41.72399917,-71.42822111
PWM,43.64616667,-70.30875
RAP,44.04532139,-103.0573708
RDU,35.87763889,-78.78747222
RIC,37.50516667,-77.31966667
RNO,39.49857611,-119.7680647
ROA,37.32546833,-79.97542833
ROC,43.11886611,-77.67238389
RST,43.90882639,-92.49798722
RSW,26.53616667,-81.75516667
SAN,32.73355611,-117.1896567
SAT,29.53369444,-98.46977778
SAV,32.12758333,-81.20213889
SBA,34.42621194,-119.8403733
SBN,41.70895361,-86.31847417
SBP,35.23705806,-120.6423931
SCC,70.19475583,-148.4651608
SDF,38.17438889,-85.736
SEA,47.44898194,-122.3093131
SFO,37.61900194,-122.3748433
SGF,37.24432611,-93.38685806
SHV,32.4466275,-93.82559833
SIT,57.04713806,-135.3615983
SJC,37.36186194,-121.9290089
SJT,31.35775,-100.4963056
SJU,18.43941667,-66.00183333
SLC,40.78838778,-111.9777731
SMF,38.69542167,-121.5907669
SNA,33.67565861,-117.8682225
SPS,33.98879611,-98.49189333
SRQ,27.39533333,-82.55411111
STL,38.74768694,-90.35998972
STT,18.33730556,-64.97336111
STX,17.70188889,-64.79855556
SWF,41.50409361,-74.10483833
SYR,43.11118694,-76.10631056
TLH,30.39652778,-84.35033333
TOL,41.58680556,-83.80783333
TPA,27.97547222,-82.53325
TRI,36.47521417,-82.40742056
TUL,36.19837222,-95.88824167
TUS,32.11608333,-110.9410278
TVC,44.74144472,-85.582235
TXK,33.45370806,-93.99102
TYR,32.35413889,-95.40238611
TYS,35.81248722,-83.99285583
VPS,30.48325,-86.5254
WRG,56.48432583,-132.3698242
XNA,36.28186944,-94.30681111
YAK,59.50336056,-139.6602261
